"","X","model4.coef","NAME","X1","X2"
"1","C1",-0.572306053972434,"C1","-3C","-3C"
"2","G1",-0.379602921414868,"G1","-3G","-3G"
"3","T1",-0.561254725994742,"T1","-3T","-3T"
"4","C2",-0.694113616959076,"C2","-4C","-4C"
"5","G2",-0.467367086121905,"G2","-4G","-4G"
"6","T2",-0.38149768158677,"T2","-4T","-4T"
"7","C3",-0.819878588345104,"C3","-5C","-5C"
"8","G3",-0.692067792385318,"G3","-5G","-5G"
"9","T3",-0.264721105045799,"T3","-5T","-5T"
"10","C4",-0.824016052030296,"C4","-6C","-6C"
"11","G4",-0.971555696642166,"G4","-6G","-6G"
"12","T4",-0.283820827266669,"T4","-6T","-6T"
"13","C5",-0.91102570876628,"C5","-7C","-7C"
"14","G5",-1.14263526869827,"G5","-7G","-7G"
"15","T5",-0.554323290112293,"T5","-7T","-7T"
"16","A6",0.26678445736823,"A6","-8A","-8A"
"17","C6",0.298672513848532,"C6","-8C","-8C"
"18","T6",0.327657179770179,"T6","-8T","-8T"
"19","A1A2",-0.212147752668161,"A1A2","-3A","-4A"
"20","A1G2",-0.271454078233398,"A1G2","-3A","-4G"
"21","A1C4",-0.16530326287958,"A1C4","-3A","-6C"
"22","C1C2",-0.330760298698609,"C1C2","-3C","-4C"
"23","C1G2",-0.676107237273383,"C1G2","-3C","-4G"
"24","C1C3",0.437543109492496,"C1C3","-3C","-5C"
"25","C1G3",-0.123596280836227,"C1G3","-3C","-5G"
"26","C1T3",0.287216068928955,"C1T3","-3C","-5T"
"27","C1C4",0.193017044706952,"C1C4","-3C","-6C"
"28","C1G5",0.184192329616972,"C1G5","-3C","-7G"
"29","G1C2",0.296331182986928,"G1C2","-3G","-4C"
"30","G1G2",-0.705607439146161,"G1G2","-3G","-4G"
"31","G1G3",0.188439114225641,"G1G3","-3G","-5G"
"32","G1T3",-0.107999157739489,"G1T3","-3G","-5T"
"33","T1T2",-0.261786967871133,"T1T2","-3T","-4T"
"34","T1G3",0.182697624725291,"T1G3","-3T","-5G"
"35","T1T4",0.197154041117399,"T1T4","-3T","-6T"
"36","A2A3",-0.373837224785506,"A2A3","-4A","-5A"
"37","A2C5",-0.188725959477052,"A2C5","-4A","-7C"
"38","C2C4",0.438538696279537,"C2C4","-4C","-6C"
"39","C2G4",-0.187055246512657,"C2G4","-4C","-6G"
"40","C2T4",0.285413667184537,"C2T4","-4C","-6T"
"41","G2C3",0.54008704458078,"G2C3","-4G","-5C"
"42","G2G3",-0.156043606217623,"G2G3","-4G","-5G"
"43","G2T3",-0.0940466885295593,"G2T3","-4G","-5T"
"44","G2G4",0.301007868429974,"G2G4","-4G","-6G"
"45","G2T4",-0.22506231698431,"G2T4","-4G","-6T"
"46","G2A5",-0.259288450161296,"G2A5","-4G","-7A"
"47","G2G6",0.208975031882692,"G2G6","-4G","-8G"
"48","T2C3",-0.164627775161551,"T2C3","-4T","-5C"
"49","T2C4",-0.143317267948824,"T2C4","-4T","-6C"
"50","T2G4",0.164743171447398,"T2G4","-4T","-6G"
"51","A3A4",-0.338391216664779,"A3A4","-5A","-6A"
"52","A3T4",0.109239266252442,"A3T4","-5A","-6T"
"53","C3A4",0.149344150227726,"C3A4","-5C","-6A"
"54","C3C4",-0.259278748902478,"C3C4","-5C","-6C"
"55","C3C5",0.268110629657115,"C3C5","-5C","-7C"
"56","C3G5",-0.114881714029032,"C3G5","-5C","-7G"
"57","G3C4",0.385016987319164,"G3C4","-5G","-6C"
"58","G3G4",-0.274235621946377,"G3G4","-5G","-6G"
"59","G3T4",-0.097895629634221,"G3T4","-5G","-6T"
"60","G3G5",0.28493471623438,"G3G5","-5G","-7G"
"61","T3C4",-0.35550363192473,"T3C4","-5T","-6C"
"62","A4A5",-0.28928319068641,"A4A5","-6A","-7A"
"63","A4A6",0.1751518636153,"A4A6","-6A","-8A"
"64","G4C5",0.500465676820446,"G4C5","-6G","-7C"
"65","G4G5",-0.173625494989535,"G4G5","-6G","-7G"
"66","G4G6",0.271385892616932,"G4G6","-6G","-8G"
"67","T4C5",-0.304206204958892,"T4C5","-6T","-7C"
"68","T4T5",0.0888887549758382,"T4T5","-6T","-7T"
"69","C5C6",-0.147716751131446,"C5C6","-7C","-8C"
"70","C5T6",0.131826664986035,"C5T6","-7C","-8T"
"71","G5A6",0.369605672887246,"G5A6","-7G","-8A"
"72","G5C6",0.291201386675927,"G5C6","-7G","-8C"
"73","G5T6",-0.131958792088831,"G5T6","-7G","-8T"
